id,category,text,expected,accept,predicted,pass,probability,is_uncertain,recommended_action,agreement_score,consensus_words,dominant_emotion,rationale
neg-1,negation,I am not stressed at all today.,Not Stressed,,Not Stressed,True,0.0587,False,Prediction confidence is sufficient for this sample.,1.0,"all, not, stressed, today",none,"The model predicts not stressed (6%) based on words such as all, not, stressed, today, with a dominant none signal."
neg-2,negation,This feels like a stress free evening and I am relaxed.,Not Stressed,,Not Stressed,True,0.0969,False,Prediction confidence is sufficient for this sample.,1.0,"evening, relaxed, stress, feels, free, like",none,"The model predicts not stressed (10%) based on words such as evening, relaxed, stress, feels, with a dominant none signal."
calm-1,calm,Everything is fine and I feel calm.,Not Stressed,"Not Stressed, Uncertain",Not Stressed,True,0.0771,False,Prediction confidence is sufficient for this sample.,1.0,"calm, everything, feel, fine",none,"The model predicts not stressed (8%) based on words such as calm, everything, feel, fine, with a dominant none signal."
calm-2,calm,I am okay and just resting after a normal day.,Not Stressed,"Not Stressed, Uncertain",Not Stressed,True,0.062,False,Prediction confidence is sufficient for this sample.,0.8333,"just, okay, resting, after, normal",none,"The model predicts not stressed (6%) based on words such as just, okay, resting, after, with a dominant none signal."
stress-1,workload,I am overwhelmed with deadlines and cannot sleep.,Stressed,,Stressed,True,0.9814,False,Prediction confidence is sufficient for this sample.,1.0,"cannot, deadlines, overwhelmed, sleep",anxiety,"The model predicts stressed (98%) based on words such as cannot, deadlines, overwhelmed, sleep, with a dominant anxiety signal."
stress-2,workload,The workload is crushing me and I feel constant pressure.,Stressed,,Stressed,True,0.979,False,Prediction confidence is sufficient for this sample.,1.0,"pressure, constant, crushing, feel, workload",pressure,"The model predicts stressed (98%) based on words such as pressure, constant, crushing, feel, with a dominant pressure signal."
stress-3,burnout,"I feel exhausted, burned out, and mentally drained.",Stressed,,Stressed,True,0.977,False,Prediction confidence is sufficient for this sample.,1.0,"burned, drained, feel, mentally, exhausted, out",burnout,"The model predicts stressed (98%) based on words such as burned, drained, feel, mentally, with a dominant burnout signal."
stress-4,anxiety,I am anxious all day and panic before every meeting.,Stressed,,Stressed,True,0.9812,False,Prediction confidence is sufficient for this sample.,0.8333,"all, anxious, panic, day, every",anxiety,"The model predicts stressed (98%) based on words such as all, anxious, panic, day, with a dominant anxiety signal."
stress-5,distress,Family problems have left me hopeless and stuck.,Stressed,,Stressed,True,0.9809,False,Prediction confidence is sufficient for this sample.,1.0,"have, hopeless, left, problems, stuck, family",distress,"The model predicts stressed (98%) based on words such as have, hopeless, left, problems, with a dominant distress signal."
stress-6,sleep,My heart races every night and I cannot relax anymore.,Stressed,,Stressed,True,0.9801,False,Prediction confidence is sufficient for this sample.,1.0,"cannot, heart, races, relax, anymore, every",none,"The model predicts stressed (98%) based on words such as cannot, heart, races, relax, with a dominant none signal."
mixed-1,mixed,"I am tired, but I am not stressed right now.",Not Stressed,"Not Stressed, Uncertain",Not Stressed,True,0.2371,False,Prediction confidence is sufficient for this sample.,1.0,"not, now, right, stressed, tired",burnout,"The model predicts not stressed (24%) based on words such as not, now, right, stressed, with a dominant burnout signal."
mixed-2,mixed,There is a lot going on and I do not know how I feel.,Uncertain,"Uncertain, Not Stressed",Stressed,False,0.9778,False,Prediction confidence is sufficient for this sample.,0.5714,"feel, how, not, lot",none,"The model predicts stressed (98%) based on words such as feel, how, not, lot, with a dominant none signal."
