text,label
i am not stressed,0
i'm not stressed,0
im not stressed,0
i am not stressed at all,0
not stressed anymore,0
never stressed about it,0
no stress here,0
no stress today,0
zero stress,0
stress free day,0
having a stress free week,0
feeling stress free,0
i feel calm,0
i am calm,0
i am calm all the time,0
mostly calm lately,0
everything is fine,0
i'm okay,0
i am okay,0
doing okay,0
not feeling stressed,0
don't feel stressed,0
do not feel stressed,0
not very stressed,0
managing stress well,0
keeping stress under control,0
life is peaceful,0
pretty relaxed today,0
just chilling,0
all good here,0
nothing to worry about,0
i'm fine really,0
feeling neutral,0
not overwhelmed,0
not anxious right now,0
no anxiety today,0
handling work fine,0
coping well,0
sleeping fine,0
enjoying the weekend,0
looking forward to vacation,0
grateful and calm,0
not burned out,0
not burned out anymore,0
took a break and feel better,0
self care day went well,0
journal says i'm stable,0
therapist says i'm stable,0
mood is stable,0
low stress week,0
minimal stress,0
barely any stress,0
i'm not under pressure,0
deadlines are manageable,0
everything under control,0
i am relaxed,0
feeling relaxed,0
taking it easy,0
not a big deal,0
it's fine honestly,0
i am good,0
i'm alright,0
no complaints,0
smooth sailing,0
life feels normal,0
ordinary day,0
boring in a good way,0
not tense at all,0
muscles not tense,0
heart rate normal,0
breathing is steady,0
not ruminating,0
mind is clear,0
focused and calm,0
balanced mood,0
emotionally steady,0
neutral about work,0
neutral about school,0
short text ok test one,0
ok,0
k,0
sure,0
yep all good,0
nope not stressed,0
nah i'm fine,0
i am stressed,1
i'm so stressed,1
i am very stressed,1
completely overwhelmed,1
burning out at work,1
cannot sleep from stress,1
panic about deadlines,1
anxiety is crushing me,1
constant worry,1
i feel trapped,1
mental breakdown energy,1
too much pressure,1
deadlines are killing me,1
scared i will fail,1
heart racing from stress,1
chest tight from anxiety,1
ruminating every night,1
short i'm overwhelmed,1
stressed,1
